,product,started,closed,winner,price
191,Caixa de Som,2022-01-08 11:00:00,2022-01-08 13:40:54,Alcides Marin,"R$ 14,47"
192,Pacote 100 Lances,2022-01-08 12:00:00,2022-01-08 12:32:16,flgouvea,"R$ 4,00"
193,PIX de 1.000,2022-01-08 08:00:00,2022-01-08 11:21:38,walmarques,"R$ 19,23"
194,IPhone 13 Pro,2022-01-08 10:00:00,2022-01-08 10:27:08,JotinhaXP,"R$ 5,56"
195,Pacote 50 Lances,2022-01-08 09:00:00,2022-01-08 09:10:39,email,"R$ 1,20"
196,Bicicleta Ergométrica Polimet,2022-01-08 07:00:00,2022-01-08 07:57:39,esse é meu sim,"R$ 4,96"
197,GoPro HERO 9,2022-01-07 11:00:00,2022-01-08 06:48:12,Pipo Zadi,"R$ 127,46"
198,Pacote 50 Lances,2022-01-08 06:00:00,2022-01-08 06:14:40,email,"R$ 2,09"
199,Patinete Elétrico Maj,2022-01-07 20:00:00,2022-01-08 04:57:43,kadinho99,"R$ 62,72"
200,Pacote 100 Lances,2022-01-07 23:00:00,2022-01-07 23:08:23,LuVPS81000,"R$ 1,74"
201,Smart TV LED,2022-01-07 16:00:00,2022-01-07 22:15:33,Daniel de Santi,"R$ 44,66"
202,Whisky Royal Salute,2022-01-07 20:30:00,2022-01-07 22:14:53,Camponazzi,"R$ 12,94"
203,PIX de 200,2022-01-07 19:30:00,2022-01-07 21:12:33,vamos .   .,"R$ 12,04"
204,Pacote 100 Lances,2022-01-07 21:00:00,2022-01-07 21:06:51,Tiagomarkom,"R$ 1,28"
205,Smart TV LED,2022-01-07 19:00:00,2022-01-07 20:05:53,LaminadosSP,"R$ 8,76"
206,Pacote 50 Lances,2022-01-07 18:00:00,2022-01-07 18:04:46,email,"R$ 1,25"
207,Esteira Ergométrica El,2022-01-07 17:00:00,2022-01-07 17:42:23,LEOFOREX,"R$ 5,03"
208,IPhone 13 Pro,2022-01-07 10:00:00,2022-01-07 16:16:08,rodrigo.ccarvalho13,"R$ 45,03"
209,Pacote 50 Lances,2022-01-07 15:00:00,2022-01-07 15:15:15,fabiosf,"R$ 3,18"
210,Cafeteira Dolce Gusto,2022-01-07 14:00:00,2022-01-07 15:01:14,flgouvea,"R$ 7,51"
211,A Intel Core,2022-01-06 22:00:00,2022-01-07 13:32:06,tedesco.carlos,"R$ 110,17"
212,Patinete Elétrico Foston,2022-01-07 13:00:00,2022-01-07 13:15:11,Bennício,"R$ 2,38"
213,Lava E Seca,2022-01-07 08:00:00,2022-01-07 12:54:43,pedrogalvan,"R$ 38,27"
214,Pacote 100 Lances,2022-01-07 12:00:00,2022-01-07 12:45:45,Hjrocha,"R$ 5,39"
215,Pacote 50 Lances,2022-01-07 09:00:00,2022-01-07 09:07:32,email,"R$ 1,01"
216,PIX de 1.000,2022-01-07 07:00:00,2022-01-07 08:17:49,Dani_alamo_adv,"R$ 8,27"
217,Pacote 50 Lances,2022-01-07 06:00:00,2022-01-07 06:23:27,email,"R$ 2,46"
218,IPhone 13 Pro,2022-01-05 10:00:00,2022-01-07 04:43:14,EmersonSoriani,"R$ 329,63"
219,Pacote 100 Lances,2022-01-06 23:00:00,2022-01-06 23:18:58,Tiagomarkom,"R$ 2,69"
220,5 Polegadas Vermelho,2022-01-06 20:30:00,2022-01-06 22:12:20,LIGERA,"R$ 10,30"
221,Pacote 100 Lances,2022-01-06 21:00:00,2022-01-06 21:57:34,Leopereira20,"R$ 7,02"
222,5 Digital Edition,2022-01-06 20:00:00,2022-01-06 21:21:33,claucap_pr,"R$ 13,09"
223,Computador Completo Monitor,2022-01-06 19:00:00,2022-01-06 20:14:27,r.angeloni,"R$ 11,72"
224,Pipoqueira Classic Retr,2022-01-06 19:30:00,2022-01-06 20:07:55,carlinhoscnv,"R$ 4,97"
225,Patinete Elétrico Maj,2022-01-06 16:00:00,2022-01-06 19:38:19,Lance.do.Cidão,"R$ 24,64"
