,product,started,closed,winner,price
180,Pacote 100 Lances,2021-09-22 21:00:00,2021-09-22 21:38:00,EQUINOX-SRS,"R$ 4,44"
181,Perfume Dolce e,2021-09-22 19:30:00,2021-09-22 20:42:12,Elienelila,"R$ 8,49"
182,Refrigerador Brastemp Frost,2021-09-22 19:00:00,2021-09-22 20:32:42,FabioTrader,"R$ 15,11"
183,Apple Watch Series,2021-09-22 11:00:00,2021-09-22 18:35:57,Jamboo,"R$ 42,77"
184,Pacote 50 Lances,2021-09-22 18:00:00,2021-09-22 18:10:39,VivoLixoPano,"R$ 1,93"
185,Notebook Dell Core,2021-09-22 17:00:00,2021-09-22 17:56:32,@marcoslino44,"R$ 8,56"
186,PIX de 1.000,2021-09-22 08:00:00,2021-09-22 17:28:58,RCJardins,"R$ 77,79"
187,Pacote 50 Lances,2021-09-22 15:00:00,2021-09-22 15:27:57,kellenveiga,"R$ 4,87"
188,iPhone 12 Pro,2021-09-22 10:00:00,2021-09-22 14:56:47,Deila_Costa_EUA,"R$ 41,62"
189,Professional Gaming Headset,2021-09-22 14:00:00,2021-09-22 14:06:32,email,"R$ 1,69"
190,Caixa de Som,2021-09-22 13:00:00,2021-09-22 13:42:23,wander_som,"R$ 5,62"
191,Pacote 100 Lances,2021-09-22 12:00:00,2021-09-22 12:10:39,francacv33,"R$ 2,65"
192,Pacote 50 Lances,2021-09-22 09:00:00,2021-09-22 09:05:38,Amorim26,"R$ 1,34"
193,Smart TV Led,2021-09-22 07:00:00,2021-09-22 07:09:38,maabergamo,"R$ 2,95"
194,5 Digital Edition,2021-09-21 20:00:00,2021-09-22 06:52:28,wander_som,"R$ 70,25"
195,Pacote 50 Lances,2021-09-22 06:00:00,2021-09-22 06:29:11,Jhonnnyckson,"R$ 4,66"
196,PIX de 1.000,2021-09-21 20:30:00,2021-09-22 04:25:06,K.I.W.A.2000,"R$ 56,62"
197,A Intel Core,2021-09-21 22:00:00,2021-09-22 02:39:17,edilsonvital,"R$ 24,67"
198,Pacote 100 Lances,2021-09-21 23:00:00,2021-09-21 23:13:42,luan.queiroz,"R$ 2,31"
199,Honda CG 160,2021-09-19 20:00:00,2021-09-21 23:02:21,cadencemiguel,"R$ 369,15"
200,iPhone 12 Pro,2021-09-21 10:00:00,2021-09-21 21:30:54,marciocimed,"R$ 96,44"
201,Pacote 100 Lances,2021-09-21 21:00:00,2021-09-21 21:30:40,email,"R$ 4,89"
202,Mochila Nike Sportswear,2021-09-21 19:30:00,2021-09-21 20:50:06,Orling,"R$ 14,19"
203,Cervejeira Metalfrio VN50FL,2021-09-21 17:00:00,2021-09-21 18:52:18,VACINADO,"R$ 12,91"
